"V1"	"V2"
"1"	"Abele"	"6"
"2"	"Alcorlo"	"4"
"3"	"Baltanas"	"4"
"4"	"Beaver"	"5"
"5"	"Benton"	"5"
"6"	"Bird"	"3"
"7"	"Brown"	"5"
"8"	"Carpenter"	"2"
"9"	"Cattin_Blandenier"	"2"
"10"	"Clarke_W"	"2"
"11"	"Cohen"	"2"
"12"	"Collins"	"2"
"13"	"Dexter"	"5"
"14"	"Dobson"	"4"
"15"	"Dunn"	"2"
"16"	"Feb"	"3"
"17"	"Fryer"	"4"
"18"	"Grant"	"5"
"19"	"Harrison"	"5"
"20"	"Havens"	"4"
"21"	"Huryn"	"4"
"22"	"Johnson"	"2"
"23"	"Jones"	"2"
"24"	"Jonsson"	"2"
"25"	"Kuris"	"5"
"26"	"Lafferty"	"5"
"27"	"Martinez"	"3"
"28"	"Mayse"	"2"
"29"	"McLaughlin"	"4"
"30"	"Minshall"	"3"
"31"	"Mitchell"	"2"
"32"	"Monographs"	"3"
"33"	"Montes"	"4"
"34"	"Mouritsen"	"3"
"35"	"Nixon"	"2"
"36"	"Odum_W"	"2"
"37"	"Oviatt"	"2"
"38"	"Paine"	"3"
"39"	"Parker"	"4"
"40"	"Patten"	"2"
"41"	"Ph"	"4"
"42"	"Plaistow"	"5"
"43"	"Poulin"	"4"
"44"	"Price"	"2"
"45"	"Savely"	"4"
"46"	"Sc"	"4"
"47"	"Smith_WO"	"2"
"48"	"Sprules"	"2"
"49"	"Stewart"	"2"
"50"	"Summerhayes"	"3"
"51"	"Tavares.cromar"	"3"
"52"	"Thieltges"	"3"
"53"	"Thompson"	"26"
"54"	NA	NA
"55"	NA	NA
"56"	NA	NA
"57"	NA	NA
"58"	NA	NA
