resource,consumer
sp11,sp29
sp12,sp39
sp17,sp44
sp5,sp8
sp17,sp48
sp11,sp40
sp4,sp26
sp5,sp61
sp11,sp23
sp13,sp31
sp5,sp31
sp5,sp23
sp15,sp42
sp10,sp22
sp26,sp37
sp4,sp30
sp12,sp23
sp13,sp21
sp11,sp33
sp17,sp58
sp9,sp18
sp12,sp33
sp16,sp41
sp9,sp35
sp20,sp55
sp9,sp27
sp9,sp8
sp23,sp37
sp4,sp21
sp9,sp28
sp13,sp34
sp5,sp34
sp5,sp20
sp11,sp39
sp21,sp37
sp4,sp35
sp10,sp39
sp12,sp26
sp13,sp22
sp12,sp22
sp5,sp12
sp6,sp61
sp20,sp58
sp9,sp17
sp9,sp13
sp4,sp13
sp12,sp30
sp16,sp49
sp17,sp42
sp1,sp9
sp30,sp37
sp15,sp45
sp34,sp37
sp32,sp36
sp29,sp37
sp10,sp29
sp12,sp28
sp15,sp48
sp11,sp34
sp33,sp37
sp2,sp1
sp11,sp25
sp20,sp52
sp15,sp59
sp24,sp36
sp4,sp19
sp5,sp11
sp14,sp37
sp28,sp36
sp9,sp12
sp20,sp37
sp4,sp14
sp2,sp4
sp10,sp10
sp10,sp32
sp20,sp44
sp16,sp53
sp12,sp25
sp5,sp27
sp15,sp46
sp3,sp9
sp12,sp18
sp15,sp53
sp13,sp25
sp1,sp7
sp20,sp51
sp11,sp14
sp13,sp28
sp17,sp37
sp5,sp14
sp17,sp51
sp1,sp2
sp20,sp60
sp3,sp4
sp10,sp38
sp15,sp36
sp2,sp3
sp17,sp49
sp9,sp41
sp17,sp47
sp9,sp61
sp4,sp25
sp20,sp41
sp12,sp10
sp9,sp26
sp31,sp37
sp5,sp30
sp5,sp24
sp15,sp43
sp10,sp21
sp10,sp33
sp10,sp14
sp4,sp31
sp12,sp40
sp17,sp36
sp13,sp26
sp11,sp32
sp12,sp14
sp12,sp11
sp12,sp34
sp17,sp54
sp3,sp7
sp27,sp36
sp11,sp24
sp14,sp36
sp9,sp25
sp4,sp20
sp20,sp42
sp1,sp4
sp16,sp56
sp5,sp33
sp5,sp21
sp10,sp24
sp10,sp30
sp2,sp5
sp20,sp56
sp12,sp21
sp3,sp6
sp18,sp36
sp9,sp16
sp19,sp37
sp4,sp10
sp7,sp61
sp16,sp43
sp1,sp3
sp9,sp40
sp9,sp29
sp16,sp60
sp17,sp43
sp13,sp39
sp11,sp21
sp4,sp23
sp11,sp26
sp32,sp37
sp10,sp28
sp15,sp57
sp15,sp49
sp10,sp27
sp33,sp36
sp11,sp10
sp15,sp58
sp5,sp10
sp21,sp36
sp1,sp6
sp9,sp15
sp4,sp15
sp12,sp32
sp2,sp7
sp10,sp11
sp9,sp30
sp20,sp45
sp16,sp54
sp9,sp54
sp16,sp59
sp5,sp28
sp15,sp47
sp20,sp48
sp9,sp23
sp11,sp38
sp15,sp52
sp16,sp36
sp20,sp50
sp16,sp42
sp13,sp29
sp5,sp17
sp16,sp44
sp3,sp3
sp9,sp33
sp4,sp16
sp9,sp32
sp13,sp23
sp10,sp12
sp17,sp50
sp4,sp24
sp20,sp46
sp17,sp45
sp13,sp33
sp31,sp36
sp12,sp12
sp5,sp25
sp35,sp36
sp9,sp20
sp2,sp9
sp9,sp10
sp15,sp51
sp3,sp2
sp9,sp39
sp12,sp29
sp5,sp19
sp22,sp37
sp11,sp12
sp17,sp41
sp11,sp18
sp16,sp46
sp12,sp35
sp16,sp47
sp10,sp34
sp16,sp57
sp17,sp53
sp5,sp26
sp27,sp37
sp12,sp38
sp5,sp9
sp4,sp27
sp20,sp43
sp3,sp1
sp16,sp58
sp5,sp32
sp5,sp22
sp10,sp23
sp10,sp31
sp12,sp31
sp18,sp37
sp17,sp59
sp35,sp37
sp11,sp11
sp19,sp36
sp2,sp2
sp4,sp11
sp20,sp57
sp17,sp56
sp9,sp21
sp9,sp19
sp10,sp15
sp17,sp57
sp26,sp36
sp13,sp30
sp13,sp38
sp10,sp18
sp9,sp24
sp16,sp45
sp4,sp22
sp16,sp50
sp11,sp27
sp13,sp35
sp5,sp35
sp15,sp56
sp10,sp26
sp9,sp11
sp20,sp54
sp12,sp27
sp12,sp15
sp13,sp24
sp5,sp13
sp12,sp24
sp20,sp59
sp10,sp40
sp9,sp38
sp4,sp12
sp20,sp36
sp16,sp51
sp11,sp28
sp10,sp25
sp15,sp60
sp1,sp5
sp4,sp28
sp9,sp31
sp16,sp55
sp25,sp37
sp30,sp36
sp5,sp29
sp15,sp44
sp20,sp49
sp34,sp36
sp29,sp36
sp15,sp55
sp16,sp37
sp11,sp35
sp28,sp37
sp20,sp53
sp17,sp46
sp24,sp37
sp4,sp18
sp5,sp16
sp4,sp34
sp4,sp29
sp9,sp34
sp2,sp6
sp4,sp17
sp11,sp22
sp13,sp40
sp17,sp60
sp15,sp37
sp17,sp55
sp9,sp22
sp20,sp47
sp16,sp52
sp13,sp32
sp25,sp36
sp4,sp32
sp15,sp41
sp9,sp14
sp10,sp35
sp4,sp33
sp3,sp5
sp15,sp50
sp15,sp54
sp11,sp30
sp23,sp36
sp5,sp18
sp22,sp36
sp11,sp15
sp13,sp27
sp5,sp15
sp17,sp52
sp16,sp48
sp11,sp31
