resource,consumer
sp15,sp14
sp11,sp50
sp4,sp26
sp3,sp15
sp11,sp23
sp13,sp31
sp18,sp44
sp4,sp30
sp11,sp33
sp11,sp10
sp3,sp27
sp18,sp64
sp16,sp22
sp25,sp50
sp25,sp58
sp12,sp35
sp16,sp33
sp6,sp15
sp21,sp59
sp20,sp58
sp6,sp21
sp16,sp24
sp25,sp45
sp14,sp14
sp11,sp34
sp2,sp1
sp6,sp24
sp6,sp34
sp13,sp13
sp20,sp44
sp16,sp29
sp18,sp55
sp21,sp50
sp19,sp54
sp20,sp51
sp3,sp33
sp5,sp14
sp22,sp53
sp2,sp3
sp25,sp42
sp19,sp42
sp5,sp30
sp5,sp24
sp26,sp36
sp3,sp32
sp11,sp52
sp12,sp33
sp25,sp60
sp25,sp54
sp2,sp5
sp20,sp56
sp1,sp4
sp4,sp23
sp11,sp26
sp18,sp49
sp14,sp30
sp20,sp61
sp14,sp29
sp19,sp64
sp21,sp64
sp12,sp32
sp18,sp61
sp2,sp7
sp6,sp28
sp22,sp42
sp21,sp44
sp20,sp48
sp6,sp18
sp16,sp15
sp15,sp16
sp4,sp24
sp3,sp13
sp13,sp33
sp18,sp46
sp2,sp9
sp4,sp32
sp1,sp11
sp13,sp27
sp11,sp31
sp15,sp26
sp11,sp12
sp3,sp25
sp21,sp38
sp19,sp38
sp22,sp62
sp22,sp49
sp13,sp18
sp20,sp43
sp16,sp31
sp18,sp58
sp6,sp17
sp12,sp31
sp19,sp59
sp25,sp47
sp19,sp49
sp25,sp39
sp12,sp27
sp21,sp37
sp6,sp26
sp6,sp32
sp11,sp47
sp18,sp53
sp29,sp36
sp21,sp56
sp21,sp48
sp19,sp56
sp20,sp53
sp5,sp16
sp4,sp17
sp22,sp51
sp19,sp40
sp5,sp26
sp11,sp29
sp22,sp36
sp20,sp64
sp14,sp26
sp15,sp34
sp3,sp29
sp11,sp65
sp22,sp45
sp26,sp65
sp11,sp51
sp21,sp41
sp3,sp23
sp4,sp21
sp3,sp18
sp11,sp20
sp13,sp34
sp14,sp32
sp20,sp63
sp21,sp62
sp3,sp20
sp16,sp21
sp1,sp9
sp21,sp46
sp16,sp34
sp16,sp17
sp4,sp19
sp28,sp36
sp30,sp36
sp3,sp11
sp18,sp40
sp15,sp28
sp11,sp14
sp6,sp23
sp16,sp26
sp13,sp16
sp20,sp41
sp18,sp56
sp22,sp56
sp25,sp41
sp19,sp47
sp5,sp33
sp5,sp21
sp3,sp31
sp15,sp32
sp19,sp37
sp18,sp39
sp6,sp30
sp14,sp23
sp25,sp63
sp18,sp51
sp21,sp54
sp19,sp50
sp20,sp55
sp4,sp15
sp9,sp65
sp22,sp38
sp5,sp28
sp14,sp35
sp13,sp29
sp19,sp61
sp25,sp64
sp22,sp47
sp11,sp53
sp31,sp36
sp21,sp43
sp11,sp18
sp5,sp19
sp6,sp22
sp22,sp58
sp15,sp15
sp4,sp27
sp3,sp16
sp11,sp22
sp18,sp45
sp18,sp37
sp15,sp23
sp21,sp60
sp3,sp26
sp16,sp23
sp16,sp32
sp6,sp14
sp21,sp58
sp20,sp59
sp1,sp5
sp4,sp28
sp18,sp42
sp14,sp17
sp11,sp35
sp11,sp16
sp6,sp25
sp13,sp14
sp20,sp47
sp18,sp54
sp6,sp13
sp21,sp53
sp19,sp55
sp5,sp15
sp6,sp20
sp22,sp54
sp25,sp43
sp19,sp45
sp5,sp31
sp5,sp23
sp12,sp23
sp15,sp30
sp25,sp61
sp16,sp28
sp25,sp57
sp19,sp52
sp20,sp57
sp5,sp12
sp4,sp13
sp25,sp48
sp25,sp52
sp11,sp25
sp32,sp36
sp12,sp28
sp23,sp36
sp24,sp36
sp20,sp60
sp19,sp63
sp20,sp38
sp18,sp62
sp6,sp29
sp22,sp41
sp21,sp45
sp16,sp14
sp1,sp2
sp15,sp17
sp4,sp25
sp3,sp14
sp22,sp48
sp13,sp30
sp18,sp47
sp4,sp31
sp17,sp36
sp13,sp26
sp11,sp32
sp11,sp13
sp12,sp34
sp19,sp39
sp16,sp25
sp25,sp59
sp20,sp42
sp16,sp30
sp6,sp16
sp16,sp13
sp12,sp17
sp25,sp44
sp19,sp48
sp14,sp15
sp25,sp38
sp33,sp36
sp15,sp35
sp1,sp6
sp22,sp64
sp6,sp35
sp20,sp45
sp18,sp52
sp21,sp51
sp21,sp49
sp19,sp57
sp20,sp50
sp2,sp8
sp5,sp17
sp4,sp16
sp22,sp52
sp19,sp43
sp5,sp25
sp11,sp28
sp22,sp37
sp7,sp65
sp14,sp27
sp3,sp28
sp22,sp44
sp25,sp55
sp1,sp8
sp1,sp3
sp2,sp2
sp4,sp22
sp3,sp19
sp11,sp27
sp13,sp35
sp18,sp48
sp11,sp55
sp14,sp31
sp20,sp62
sp14,sp28
sp21,sp63
sp20,sp36
sp18,sp60
sp22,sp43
sp25,sp37
sp2,sp4
sp21,sp47
sp20,sp49
sp3,sp24
sp6,sp19
sp16,sp16
sp12,sp30
sp4,sp18
sp3,sp12
sp13,sp32
sp18,sp41
sp4,sp33
sp1,sp7
sp11,sp30
sp15,sp27
sp11,sp15
sp2,sp6
sp21,sp39
sp22,sp63
sp16,sp27
sp13,sp17
sp20,sp40
sp18,sp59
sp4,sp12
sp19,sp58
sp22,sp57
sp25,sp46
sp19,sp46
sp5,sp20
sp14,sp13
sp12,sp26
sp15,sp33
sp18,sp38
sp6,sp33
sp21,sp36
sp2,sp11
sp18,sp50
sp21,sp57
sp6,sp27
sp20,sp52
sp19,sp51
sp3,sp22
sp4,sp14
sp22,sp50
sp8,sp65
sp19,sp41
sp5,sp27
sp14,sp34
sp13,sp28
sp11,sp19
sp22,sp46
sp25,sp53
sp21,sp40
sp16,sp19
sp22,sp59
sp27,sp36
sp4,sp20
sp3,sp17
sp11,sp21
sp14,sp33
sp13,sp23
sp21,sp61
sp3,sp21
sp16,sp20
sp16,sp35
sp15,sp13
sp4,sp29
sp3,sp10
sp18,sp43
sp14,sp16
sp15,sp29
sp11,sp17
sp22,sp61
sp13,sp15
sp20,sp46
sp18,sp57
sp6,sp12
sp21,sp52
sp15,sp18
sp22,sp55
sp25,sp40
