resource,consumer
sp1,sp17
sp12,sp13
sp2,sp2
sp2,sp17
sp1,sp18
sp8,sp14
sp4,sp26
sp1,sp6
sp5,sp14
sp2,sp12
sp11,sp14
sp4,sp19
sp2,sp7
sp4,sp30
sp4,sp22
sp1,sp2
sp4,sp29
sp1,sp16
sp12,sp14
sp2,sp3
sp2,sp18
sp4,sp25
sp3,sp14
sp1,sp15
sp9,sp14
sp7,sp14
sp2,sp8
sp4,sp21
sp1,sp5
sp1,sp3
sp4,sp28
sp2,sp10
sp11,sp13
sp2,sp4
sp1,sp1
sp4,sp24
sp3,sp13
sp2,sp15
sp4,sp13
sp1,sp8
sp4,sp20
sp6,sp14
sp1,sp4
sp9,sp13
sp2,sp11
sp2,sp5
sp7,sp13
sp2,sp1
sp2,sp16
sp6,sp13
sp4,sp27
sp1,sp10
sp1,sp7
sp1,sp11
sp4,sp14
sp5,sp13
sp8,sp13
sp2,sp6
sp4,sp23
sp1,sp12
