resource,consumer
sp6,sp20
sp21,sp18
sp3,sp29
sp5,sp8
sp2,sp17
sp21,sp17
sp19,sp11
sp4,sp26
sp3,sp15
sp16,sp8
sp5,sp31
sp5,sp23
sp22,sp13
sp10,sp32
sp4,sp30
sp3,sp33
sp4,sp12
sp26,sp37
sp22,sp21
sp16,sp18
sp9,sp18
sp3,sp23
sp9,sp9
sp3,sp27
sp19,sp7
sp16,sp22
sp16,sp9
sp10,sp33
sp2,sp14
sp9,sp8
sp3,sp34
sp2,sp8
sp4,sp21
sp3,sp18
sp4,sp31
sp5,sp34
sp5,sp20
sp10,sp25
sp19,sp20
sp6,sp15
sp16,sp12
sp18,sp35
sp17,sp36
sp5,sp12
sp22,sp22
sp21,sp22
sp9,sp17
sp4,sp13
sp3,sp20
sp15,sp35
sp16,sp21
sp19,sp16
sp2,sp11
sp12,sp16
sp30,sp37
sp22,sp14
sp32,sp36
sp29,sp37
sp19,sp9
sp22,sp19
sp10,sp28
sp33,sp37
sp28,sp36
sp11,sp2
sp24,sp36
sp4,sp19
sp5,sp11
sp15,sp36
sp21,sp8
sp9,sp12
sp3,sp22
sp6,sp24
sp4,sp14
sp6,sp29
sp21,sp13
sp16,sp17
sp19,sp15
sp3,sp11
sp12,sp13
sp5,sp27
sp3,sp24
sp3,sp9
sp6,sp7
sp6,sp10
sp2,sp20
sp21,sp9
sp16,sp14
sp5,sp14
sp22,sp28
sp1,sp2
sp7,sp35
sp6,sp23
sp21,sp19
sp5,sp7
sp22,sp27
sp2,sp18
sp21,sp14
sp3,sp8
sp19,sp10
sp4,sp25
sp3,sp14
sp12,sp10
sp31,sp37
sp5,sp30
sp5,sp24
sp22,sp12
sp21,sp20
sp26,sp36
sp6,sp11
sp12,sp22
sp11,sp35
sp22,sp35
sp16,sp19
sp6,sp14
sp6,sp8
sp12,sp34
sp3,sp7
sp2,sp15
sp14,sp36
sp4,sp20
sp3,sp17
sp22,sp9
sp5,sp33
sp5,sp21
sp9,sp7
sp16,sp7
sp10,sp30
sp19,sp21
sp6,sp16
sp16,sp13
sp12,sp21
sp6,sp33
sp18,sp36
sp22,sp23
sp21,sp21
sp9,sp16
sp5,sp9
sp6,sp30
sp3,sp21
sp16,sp20
sp22,sp8
sp19,sp19
sp2,sp12
sp12,sp17
sp3,sp32
sp21,sp7
sp4,sp23
sp32,sp37
sp14,sp35
sp22,sp18
sp10,sp27
sp33,sp36
sp21,sp34
sp16,sp10
sp23,sp37
sp5,sp10
sp21,sp36
sp9,sp15
sp6,sp27
sp4,sp15
sp11,sp1
sp2,sp7
sp6,sp28
sp21,sp10
sp19,sp14
sp10,sp24
sp3,sp10
sp12,sp14
sp12,sp19
sp5,sp28
sp22,sp16
sp4,sp11
sp10,sp37
sp16,sp36
sp11,sp36
sp6,sp18
sp16,sp15
sp5,sp17
sp22,sp29
sp9,sp22
sp9,sp10
sp6,sp22
sp17,sp35
sp3,sp31
sp6,sp34
sp2,sp19
sp21,sp15
sp19,sp13
sp4,sp24
sp3,sp13
sp12,sp11
sp31,sp36
sp5,sp25
sp22,sp11
sp9,sp34
sp9,sp20
sp2,sp9
sp4,sp32
sp10,sp26
sp8,sp35
sp5,sp19
sp4,sp16
sp3,sp25
sp22,sp33
sp4,sp8
sp6,sp21
sp27,sp37
sp3,sp28
sp12,sp7
sp2,sp16
sp21,sp16
sp4,sp27
sp3,sp16
sp13,sp36
sp5,sp32
sp5,sp22
sp10,sp23
sp10,sp31
sp19,sp22
sp6,sp17
sp3,sp30
sp4,sp9
sp19,sp8
sp22,sp20
sp22,sp32
sp12,sp8
sp3,sp26
sp6,sp31
sp12,sp36
sp10,sp36
sp12,sp20
sp4,sp10
sp9,sp19
sp4,sp34
sp19,sp18
sp2,sp13
sp12,sp18
sp22,sp24
sp4,sp33
sp4,sp22
sp3,sp19
sp34,sp35
sp13,sp35
sp20,sp35
sp12,sp9
sp9,sp11
sp16,sp11
sp7,sp36
sp5,sp13
sp22,sp25
sp22,sp31
sp9,sp14
sp6,sp26
sp6,sp32
sp20,sp36
sp22,sp30
sp23,sp25
sp27,sp35
sp21,sp11
sp19,sp17
sp4,sp28
sp2,sp10
sp12,sp15
sp25,sp37
sp30,sp36
sp5,sp29
sp22,sp15
sp29,sp36
sp2,sp22
sp10,sp29
sp22,sp17
sp28,sp37
sp6,sp19
sp16,sp16
sp24,sp37
sp4,sp18
sp5,sp16
sp22,sp26
sp4,sp29
sp9,sp13
sp6,sp25
sp4,sp17
sp6,sp9
sp21,sp12
sp19,sp12
sp3,sp12
sp12,sp12
sp6,sp12
sp4,sp7
sp5,sp26
sp22,sp10
sp9,sp21
sp6,sp13
sp2,sp21
sp8,sp36
sp5,sp18
sp22,sp36
sp22,sp7
sp5,sp15
