resource,consumer
sp27,sp34
sp11,sp23
sp24,sp28
sp23,sp30
sp13,sp21
sp11,sp33
sp11,sp10
sp31,sp1
sp23,sp29
sp7,sp1
sp10,sp19
sp6,sp15
sp6,sp5
sp25,sp20
sp12,sp16
sp24,sp27
sp13,sp31
sp23,sp18
sp14,sp14
sp11,sp34
sp12,sp25
sp24,sp17
sp28,sp20
sp6,sp34
sp10,sp22
sp10,sp10
sp29,sp34
sp26,sp5
sp4,sp1
sp2,sp3
sp25,sp30
sp23,sp17
sp10,sp21
sp10,sp33
sp12,sp22
sp22,sp34
sp23,sp27
sp14,sp20
sp29,sp33
sp27,sp33
sp22,sp8
sp11,sp21
sp25,sp25
sp11,sp9
sp14,sp30
sp24,sp35
sp14,sp29
sp12,sp32
sp6,sp28
sp26,sp21
sp30,sp31
sp26,sp35
sp10,sp8
sp6,sp18
sp25,sp4
sp12,sp11
sp13,sp33
sp27,sp30
sp13,sp27
sp11,sp31
sp13,sp9
sp25,sp11
sp28,sp7
sp12,sp35
sp24,sp10
sp6,sp21
sp13,sp18
sp2,sp35
sp13,sp8
sp6,sp17
sp22,sp3
sp11,sp5
sp12,sp18
sp24,sp21
sp11,sp27
sp27,sp21
sp26,sp23
sp26,sp32
sp12,sp27
sp21,sp1
sp10,sp14
sp15,sp34
sp22,sp31
sp28,sp22
sp29,sp1
sp6,sp32
sp23,sp20
sp13,sp11
sp10,sp16
sp28,sp19
sp28,sp34
sp32,sp3
sp23,sp11
sp10,sp35
sp22,sp7
sp24,sp32
sp27,sp15
sp13,sp3
sp28,sp16
sp24,sp3
sp32,sp1
sp13,sp6
sp27,sp31
sp11,sp20
sp13,sp34
sp14,sp32
sp10,sp9
sp13,sp22
sp22,sp22
sp26,sp13
sp12,sp30
sp26,sp29
sp2,sp30
sp27,sp27
sp23,sp5
sp12,sp13
sp24,sp24
sp6,sp7
sp13,sp25
sp25,sp34
sp25,sp17
sp23,sp7
sp13,sp16
sp22,sp27
sp26,sp18
sp28,sp9
sp28,sp8
sp24,sp23
sp23,sp14
sp14,sp10
sp10,sp24
sp10,sp30
sp28,sp32
sp12,sp21
sp15,sp32
sp22,sp33
sp6,sp30
sp23,sp22
sp14,sp23
sp26,sp15
sp10,sp3
sp26,sp11
sp33,sp1
sp25,sp29
sp23,sp3
sp9,sp9
sp26,sp31
sp25,sp28
sp25,sp14
sp14,sp35
sp24,sp30
sp14,sp24
sp11,sp18
sp27,sp17
sp11,sp8
sp30,sp32
sp11,sp3
sp9,sp34
sp11,sp22
sp23,sp33
sp13,sp20
sp11,sp11
sp26,sp30
sp26,sp17
sp10,sp18
sp30,sp35
sp25,sp33
sp14,sp8
sp30,sp5
sp12,sp15
sp11,sp7
sp14,sp17
sp11,sp35
sp11,sp15
sp25,sp15
sp15,sp1
sp24,sp14
sp13,sp14
sp26,sp16
sp30,sp7
sp26,sp4
sp5,sp1
sp13,sp30
sp23,sp16
sp26,sp27
sp10,sp32
sp28,sp30
sp12,sp23
sp15,sp30
sp22,sp35
sp23,sp24
sp14,sp21
sp26,sp24
sp28,sp15
sp29,sp32
sp9,sp31
sp27,sp8
sp24,sp5
sp11,sp32
sp27,sp32
sp24,sp4
sp14,sp19
sp11,sp25
sp12,sp28
sp9,sp3
sp27,sp19
sp25,sp19
sp24,sp18
sp6,sp29
