resource,consumer
sp49,sp40
sp40,sp44
sp29,sp29
sp35,sp16
sp28,sp16
sp45,sp38
sp36,sp22
sp48,sp39
sp27,sp24
sp35,sp24
sp46,sp29
sp40,sp32
sp34,sp21
sp31,sp12
sp31,sp20
sp29,sp42
sp27,sp12
sp31,sp1
sp41,sp22
sp31,sp8
sp40,sp28
sp45,sp25
sp36,sp3
sp49,sp31
sp29,sp32
sp30,sp8
sp31,sp18
sp47,sp39
sp46,sp36
sp31,sp15
sp35,sp2
sp35,sp15
sp37,sp16
sp29,sp41
sp35,sp9
sp40,sp43
sp31,sp7
sp30,sp9
sp30,sp16
sp29,sp37
sp46,sp28
sp30,sp19
sp39,sp4
sp30,sp21
sp46,sp31
sp27,sp19
sp39,sp24
sp35,sp10
sp43,sp16
sp36,sp24
sp40,sp40
sp31,sp24
sp45,sp43
sp43,sp24
sp29,sp39
sp32,sp5
sp30,sp13
sp29,sp34
sp26,sp5
sp40,sp36
sp37,sp22
sp47,sp31
sp31,sp6
sp27,sp16
sp39,sp21
sp35,sp13
sp32,sp22
sp49,sp47
sp40,sp45
sp29,sp28
sp42,sp5
sp39,sp2
sp37,sp24
sp49,sp29
sp38,sp5
sp31,sp37
sp25,sp3
sp26,sp24
sp27,sp3
sp30,sp10
sp31,sp11
sp43,sp5
sp35,sp19
sp29,sp45
sp27,sp13
sp39,sp22
sp29,sp26
sp27,sp22
sp26,sp3
sp41,sp5
sp31,sp50
sp31,sp22
sp46,sp38
sp35,sp50
sp37,sp21
sp31,sp4
sp25,sp22
sp39,sp10
sp29,sp33
sp38,sp16
sp26,sp21
sp41,sp21
sp30,sp3
sp48,sp46
sp43,sp22
sp46,sp27
sp37,sp5
sp32,sp3
sp43,sp3
sp28,sp24
sp49,sp48
sp27,sp10
sp27,sp5
sp48,sp27
sp29,sp44
sp47,sp40
sp38,sp3
sp35,sp4
sp39,sp13
sp35,sp11
sp26,sp22
sp47,sp35
sp33,sp16
sp34,sp5
sp46,sp30
sp31,sp17
sp31,sp2
sp42,sp3
sp42,sp22
sp28,sp21
sp31,sp9
sp40,sp41
sp31,sp25
sp39,sp9
sp46,sp43
sp49,sp39
sp29,sp43
sp39,sp16
sp46,sp40
sp35,sp5
sp28,sp5
sp35,sp21
sp45,sp33
sp35,sp3
sp34,sp24
sp32,sp21
sp38,sp24
sp46,sp33
sp33,sp3
sp38,sp22
sp35,sp12
sp44,sp24
sp49,sp46
sp42,sp16
sp30,sp22
sp31,sp26
sp30,sp1
sp49,sp27
sp45,sp32
sp47,sp29
sp36,sp16
sp45,sp39
sp39,sp5
sp35,sp22
sp46,sp44
sp40,sp34
sp39,sp50
sp31,sp10
sp45,sp34
sp35,sp18
sp40,sp39
sp45,sp42
sp25,sp5
sp38,sp21
sp29,sp25
sp44,sp21
sp35,sp1
sp42,sp24
sp31,sp23
sp35,sp8
sp46,sp42
sp43,sp21
sp33,sp5
sp25,sp21
sp40,sp25
sp46,sp46
sp44,sp5
sp41,sp3
sp33,sp21
sp31,sp14
sp28,sp6
sp45,sp29
sp40,sp33
sp46,sp34
sp31,sp13
sp45,sp45
sp45,sp44
sp39,sp3
sp48,sp45
sp45,sp26
sp44,sp22
sp32,sp24
sp30,sp24
sp37,sp3
sp39,sp12
sp34,sp16
sp30,sp4
sp49,sp30
sp25,sp24
sp40,sp26
sp45,sp37
sp46,sp26
sp40,sp29
sp31,sp19
sp46,sp37
sp31,sp16
sp46,sp13
sp28,sp22
sp44,sp3
sp40,sp42
sp48,sp40
sp47,sp45
sp30,sp5
sp31,sp5
sp34,sp3
sp39,sp19
sp46,sp39
sp48,sp31
sp27,sp21
sp46,sp45
sp46,sp41
sp32,sp16
sp39,sp1
sp49,sp35
sp47,sp27
sp29,sp36
sp33,sp6
sp48,sp30
sp33,sp24
sp31,sp21
sp49,sp49
sp46,sp32
sp28,sp3
sp40,sp37
sp41,sp16
sp33,sp22
sp48,sp29
sp49,sp45
sp45,sp28
sp47,sp46
sp26,sp16
sp36,sp21
sp42,sp21
sp48,sp35
sp27,sp4
sp29,sp38
sp44,sp16
sp41,sp24
sp30,sp12
sp31,sp3
sp46,sp25
sp34,sp22
sp47,sp30
sp39,sp8
sp25,sp16
sp40,sp38
sp45,sp41
sp36,sp5
sp45,sp36
