resource,consumer
sp1,sp14
sp14,sp15
sp20,sp10
sp18,sp10
sp2,sp11
sp3,sp9
sp5,sp10
sp3,sp15
sp1,sp6
sp20,sp1
sp18,sp3
sp20,sp8
sp15,sp7
sp18,sp15
sp20,sp13
sp15,sp13
sp14,sp6
sp18,sp6
sp3,sp10
sp14,sp12
sp18,sp11
sp2,sp18
sp20,sp18
sp1,sp12
sp1,sp15
sp14,sp3
sp4,sp12
sp13,sp6
sp14,sp8
sp2,sp8
sp14,sp7
sp2,sp1
sp20,sp11
sp14,sp13
sp11,sp13
sp3,sp7
sp20,sp12
sp5,sp12
sp3,sp13
sp20,sp14
sp20,sp3
sp18,sp12
sp18,sp7
sp11,sp3
sp14,sp9
sp1,sp13
sp1,sp8
sp2,sp20
sp1,sp11
sp5,sp19
sp4,sp17
sp14,sp10
sp1,sp9
sp18,sp8
sp8,sp6
sp3,sp6
sp3,sp12
sp18,sp13
sp4,sp10
sp4,sp19
sp1,sp7
sp20,sp4
sp14,sp11
sp11,sp15
sp8,sp13
sp18,sp14
sp18,sp9
sp1,sp3
