"Amundsen, PA., Lafferty, K.D., Knudsen, R., Primicerio, R., Kristoffersen, R., Klemetsen, A., and Kuris, A.M. (2013). New parasites and predators follow the introduction of two fish species to a subarctic lake: implications for food-web structure and functioning. Oecologia. 171, pp. 993-1002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"see also: Amundsen, P-A., Lafferty, K.D., Knudsen, R., Primicerio, R., Klemetesen, A., and Kuris, A.M. (2009). Food web topology and parasites in the pelagic zone of a subarctic lake. Journal of Animal Ecology. 78, pp. 563-572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised pelagic post-introduction food web (summer) - Lake Takvatn - northern Norway,Asterionella formosa,Cyclotella kützingiana,Cyclotella comensis,Stephanodiscus medius,Chrysomonads,Ceratium hirundinella,Gymnodinium helveticum,Elakatothrix genevensis,Keratella cochelearis,Kellicottia longispina,Conochilus unicornis,Ascomorpha sp.,Polyarthra sp.,Filinia sp.,Synchaeta sp.,Asplanchna pridonta,Bosmina longispina,Bosmina longirostris,Daphnia galeata,Holopedium gibberum,Polyphemus pediculus,Cyclops scutifer,Eudiaptomus graciloides,Heterocope appendiculata,Acanthocyclops gigas,Gasterosteus aculeatus,Salvelinus alpinus,Salmo trutta,Larus canus,Sterna paradisaea,Mergus serrator,Aythya fuligula,Bucephala clangula,Melanitta nigra,Gavia arctica,Gavia stellata,Clangula hyemalis,Fungi (phytoplankton)
Asterionella formosa,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,4.1,4,4.1,4.1,4.1,4.1,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1
Cyclotella kützingiana,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,4.1,0,4.1,4.1,4.1,4.1,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
Cyclotella comensis,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,4.1,0,4.1,4.1,4.1,4.1,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
Stephanodiscus medius,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,4.1,0,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1
Chrysomonads,0,0,0,0,0,0,0,0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,0,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,14.3
Ceratium hirundinella,0,0,0,0,0,0,0,0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
Gymnodinium helveticum,0,0,0,0,0,0,0,0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,0,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
Elakatothrix genevensis,0,0,0,0,0,0,0,0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,0,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1
Keratella cochelearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellicottia longispina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
