resource,consumer
sp21,sp18
sp25,sp9
sp13,sp17
sp4,sp4
sp13,sp3
sp25,sp15
sp37,sp23
sp37,sp1
sp3,sp15
sp11,sp23
sp8,sp23
sp5,sp23
sp17,sp9
sp21,sp25
sp12,sp23
sp11,sp33
sp31,sp12
sp22,sp21
sp16,sp18
sp11,sp10
sp25,sp3
sp4,sp5
sp17,sp23
sp8,sp15
sp16,sp10
sp31,sp8
sp12,sp19
sp10,sp19
sp26,sp8
sp25,sp23
sp38,sp1
sp38,sp15
sp18,sp28
sp26,sp25
sp13,sp1
sp3,sp36
sp17,sp36
sp26,sp33
sp13,sp10
sp34,sp31
sp16,sp8
sp4,sp3
sp11,sp25
sp12,sp28
sp25,sp37
sp16,sp17
sp21,sp16
sp18,sp32
sp4,sp19
sp37,sp9
sp21,sp8
sp25,sp19
sp37,sp15
sp18,sp14
sp21,sp13
sp39,sp4
sp26,sp37
sp17,sp15
sp16,sp4
sp31,sp25
sp3,sp9
sp26,sp5
sp11,sp37
sp18,sp1
sp38,sp32
sp25,sp17
sp33,sp23
sp37,sp19
sp38,sp23
sp8,sp19
sp23,sp9
sp16,sp5
sp31,sp21
sp35,sp39
sp11,sp4
sp26,sp18
sp4,sp25
sp3,sp14
sp26,sp3
sp38,sp19
sp3,sp32
sp12,sp1
sp31,sp11
sp21,sp26
sp25,sp10
sp39,sp16
sp8,sp1
sp29,sp9
sp16,sp25
sp23,sp28
sp13,sp19
sp26,sp26
sp8,sp28
sp16,sp16
sp31,sp4
sp23,sp14
sp17,sp32
sp13,sp37
sp4,sp36
sp7,sp31
sp13,sp23
sp18,sp36
sp38,sp28
sp34,sp39
sp5,sp9
sp4,sp10
sp25,sp1
sp7,sp21
sp34,sp21
sp23,sp1
sp33,sp1
sp23,sp19
sp17,sp1
sp33,sp15
sp26,sp1
sp35,sp31
sp38,sp36
sp20,sp21
sp39,sp25
sp4,sp15
sp12,sp32
sp16,sp1
sp21,sp4
sp18,sp15
sp4,sp29
sp17,sp14
sp12,sp14
sp38,sp9
sp30,sp31
sp17,sp19
sp35,sp21
sp10,sp1
sp11,sp5
sp4,sp37
sp16,sp15
sp11,sp17
sp13,sp29
sp25,sp29
sp11,sp18
sp23,sp32
sp13,sp15
sp31,sp26
sp25,sp4
sp26,sp17
sp11,sp8
sp13,sp33
sp39,sp26
sp11,sp3
sp16,sp3
sp16,sp23
sp4,sp32
sp26,sp10
sp29,sp19
sp5,sp19
sp13,sp9
sp25,sp5
sp21,sp38
sp6,sp21
sp3,sp28
sp30,sp21
sp4,sp23
sp16,sp33
sp16,sp29
sp23,sp15
sp3,sp1
sp13,sp36
sp33,sp19
sp31,sp18
sp13,sp8
sp10,sp23
sp18,sp9
sp8,sp32
sp4,sp9
sp18,sp23
sp4,sp1
sp6,sp31
sp12,sp36
sp8,sp14
sp18,sp19
sp10,sp9
sp10,sp15
sp39,sp31
sp24,sp21
sp3,sp19
sp2,sp21
sp31,sp38
sp39,sp21
sp38,sp14
sp12,sp9
sp31,sp16
sp8,sp9
sp22,sp31
sp26,sp29
sp29,sp1
sp3,sp23
sp29,sp23
sp21,sp11
sp4,sp28
sp12,sp15
sp26,sp23
sp16,sp37
sp29,sp15
sp25,sp16
sp13,sp5
sp11,sp16
sp25,sp18
sp4,sp17
sp17,sp28
sp21,sp12
sp26,sp16
sp33,sp9
sp25,sp8
sp31,sp31
sp11,sp29
sp4,sp33
sp25,sp25
sp8,sp36
sp25,sp33
sp23,sp36
sp11,sp15
sp5,sp15
sp26,sp4
sp5,sp1
