resource,consumer
sp50,sp70
sp61,sp54
sp54,sp5
sp66,sp7
sp35,sp29
sp63,sp21
sp42,sp62
sp58,sp69
sp58,sp52
sp61,sp69
sp54,sp15
sp2,sp50
sp23,sp30
sp68,sp59
sp23,sp70
sp3,sp27
sp48,sp46
sp63,sp17
sp45,sp21
sp28,sp29
sp14,sp42
sp33,sp65
sp51,sp2
sp58,sp35
sp64,sp57
sp2,sp37
sp15,sp3
sp48,sp40
sp2,sp27
sp63,sp19
sp8,sp30
sp50,sp29
sp48,sp64
sp51,sp42
sp63,sp40
sp66,sp40
sp6,sp21
sp66,sp66
sp12,sp16
sp66,sp35
sp66,sp4
sp61,sp62
sp37,sp52
sp66,sp11
sp57,sp61
sp33,sp37
sp50,sp53
sp20,sp20
sp46,sp2
sp51,sp66
sp15,sp36
sp33,sp52
sp17,sp29
sp66,sp17
sp37,sp61
sp61,sp1
sp10,sp10
sp62,sp31
sp63,sp71
sp57,sp20
sp18,sp55
sp33,sp11
sp51,sp32
sp15,sp53
sp34,sp57
sp28,sp17
sp2,sp41
sp17,sp3
sp45,sp40
sp17,sp37
sp39,sp53
sp51,sp28
sp15,sp66
sp54,sp21
sp2,sp3
sp20,sp18
sp3,sp8
sp17,sp5
sp45,sp55
sp17,sp10
sp58,sp3
sp38,sp19
sp30,sp70
sp15,sp6
sp32,sp30
sp58,sp65
sp20,sp27
sp28,sp71
sp57,sp18
sp33,sp20
sp17,sp20
sp66,sp21
sp43,sp25
sp6,sp1
sp35,sp69
sp48,sp7
sp9,sp16
sp64,sp35
sp37,sp21
sp64,sp33
sp8,sp25
sp20,sp32
sp2,sp5
sp42,sp7
sp20,sp56
sp59,sp11
sp9,sp12
sp26,sp47
sp66,sp18
sp3,sp53
sp51,sp64
sp6,sp52
sp35,sp4
sp45,sp65
sp42,sp61
sp45,sp8
sp67,sp16
sp8,sp70
sp69,sp31
sp58,sp28
sp58,sp59
sp71,sp70
sp61,sp18
sp38,sp36
sp66,sp28
sp18,sp33
sp55,sp11
sp20,sp61
sp39,sp25
sp35,sp17
