Web	Ecotype	Latitude	Species	Links	Connectance	LS	LinkSD	Gen	GenSD	Vul	VulSD	Path	Basal	Herbivores	Intermediate	Toppreds	Treehole
Alford.web	lake	44.26155278	56	436	0.139030612	7.785714286	8.443388912	6.84375	10.28685258	3.910714286	2.965737596	0.16461039	0.428571429	0.446428571	0.553571429	0.017857143	No
AmundsenFL.web	lake	69.11666667	38	441	0.305401662	11.60526316	7.134103263	7.433333333	4.937498242	5.868421053	5.125637586	0.741820768	0.210526316	0.026315789	0.552631579	0.236842105	No
Bridge.web	lake	44.16185	75	1100	0.195555556	14.66666667	11.75603864	15.33333333	13.72143498	7.36	4.091096023	0.246126126	0.52	0.32	0.466666667	0.013333333	No
Connery.web	lake	44.31169444	30	118	0.131111111	3.933333333	4.705079997	5.454545455	5.646618238	2	1.949358869	0.131034483	0.633333333	0.266666667	0.333333333	0.033333333	No
LittleRock.web	lake	45.73553889	180	4727	0.145895062	26.26111111	21.6531817	13.25139665	9.618908041	13.17777778	20.62715458	0.345747983	0.005555556	0	0.65	0.344444444	No
PrestonFL.web	lake	37.66	71	2049	0.406466971	28.85915493	15.28379294	17.59322034	14.43878797	14.61971831	7.154957303	0.939637827	0.169014085	0.056338028	0.802816901	0.028169014	No
Sierra.web	lake	36.93333333	37	592	0.432432432	16	9.111916759	8.794117647	9.91961637	8.081081081	4.516506533	0.50975976	0.081081081	0.513513514	0.810810811	0.108108108	No
Skipwith.web	lake	53.66666667	35	749	0.611428571	21.4	8.926045357	11.17647059	11.52866144	10.85714286	4.899812575	0.407563025	0.028571429	0.428571429	0.942857143	0.028571429	No
Stink.web	lake	43.63218889	53	557	0.198291207	10.50943396	8.597047189	9.655172414	9.997502661	5.283018868	3.372347922	0.234397678	0.452830189	0.396226415	0.528301887	0.018867925	No
WEB114.web	lake	17.90330556	19	70	0.193905817	3.684210526	2.295364472	2.5	1.802775638	1.842105263	2.109206833	0.213450292	0.263157895	0.157894737	0.315789474	0.421052632	No
WEB116.web	lake	35.15527778	7	29	0.591836735	4.142857143	0.892142571	2.5	1.258305739	2.142857143	1.245399698	0.476190476	0.142857143	0.285714286	0.714285714	0.142857143	No
WEB117.web	lake	9.192083333	13	30	0.177514793	2.307692308	1.201576873	1.5	0.670820393	1.153846154	0.948371385	0.429487179	0.230769231	0.230769231	0.538461538	0.230769231	No
WEB118.web	lake	56.68853056	14	43	0.219387755	3.071428571	1.960060391	2.444444444	1.49897084	1.571428571	1.115749954	0.741758242	0.357142857	0.214285714	0.5	0.142857143	No
WEB120.web	lake	0.016111111	16	38	0.1484375	2.375	0.59947894	1.461538462	0.634323942	1.1875	0.94991776	1.4	0.1875	0.4375	0.5625	0.25	No
WEB126.web	lake	61.43333333	27	96	0.131687243	3.555555556	3.424674446	2.666666667	3.696845502	1.777777778	1.832491389	0.210826211	0.333333333	0.407407407	0.444444444	0.222222222	No
WEB131.web	lake	4.210277778	19	70	0.193905817	3.684210526	2.340774311	2.1875	1.943538976	1.842105263	2.109206833	0.216374269	0.157894737	0.157894737	0.473684211	0.368421053	No
WEB132.web	lake	4.210277778	18	84	0.259259259	4.666666667	3.265986324	2.8	2.879814809	2.333333333	2.603416559	0.267973856	0.166666667	0.055555556	0.611111111	0.222222222	No
WEB133.web	lake	7.872777778	8	20	0.3125	2.5	1.224744871	1.666666667	0.471404521	1.25	1.479019946	0.321428571	0.25	0.25	0.25	0.5	No
WEB134.web	lake	19	11	38	0.314049587	3.454545455	1.876342495	2.375	1.408678459	1.727272727	1.863081957	0.327272727	0.272727273	0.181818182	0.545454545	0.181818182	No
WEB135.web	lake	4.679444444	5	12	0.48	2.4	0.8	2	0	1.2	0.979795897	0.5	0.4	0.2	0.2	0.4	No
WEB137.web	lake	22.25833333	11	28	0.231404959	2.545454545	1.07565087	1.75	1.089724736	1.272727273	1.212878551	0.218181818	0.272727273	0.363636364	0.454545455	0.272727273	No
WEB143.web	lake	34.69583333	12	28	0.194444444	2.333333333	1.433720878	1.555555556	0.955813919	1.166666667	1.624465724	1.333333333	0.25	0.333333333	0.333333333	0.416666667	Yes
WEB204.web	lake	11.61083333	33	108	0.099173554	3.272727273	3.007795198	1.928571429	1.334395835	1.636363636	3.236329588	0.082386364	0.151515152	0.242424242	0.303030303	0.545454545	No
WEB251.web	lake	22.96055556	33	278	0.255280073	8.424242424	3.918358758	5.035714286	3.234657664	4.272727273	4.039747421	0.367424242	0.151515152	0.181818182	0.818181818	0.03030303	No
WEB272.web	lake	48.05805556	6	14	0.388888889	2.333333333	0.745355993	2.333333333	0.942809042	1.166666667	0.897527468	0.366666667	0.5	0.166666667	0.166666667	0.333333333	No
WEB277.web	lake	42.12583333	8	22	0.34375	2.75	1.299038106	2.75	1.479019946	1.375	0.992156742	0.267857143	0.5	0.375	0.375	0.125	No
WEB278.web	lake	43.7	22	155	0.320247934	7.045454545	3.259125776	4.388888889	2.264187097	3.590909091	2.461689939	0.575757576	0.181818182	0.136363636	0.681818182	0.136363636	No
WEB279.web	lake	43.7	22	151	0.311983471	6.863636364	3.208009089	4.277777778	1.994591452	3.5	2.589313703	0.532467532	0.181818182	0.136363636	0.681818182	0.136363636	No
WEB310.web	lake	12.75694444	14	98	0.5	7	1.511857892	4.454545455	1.304790918	3.5	2.897042827	0.434065934	0.214285714	0.071428571	0.642857143	0.142857143	No
WEB33.web	lake	11.61083333	34	104	0.089965398	3.058823529	2.939999765	1.857142857	1.21638474	1.529411765	3.136458232	0.076648841	0.176470588	0.205882353	0.264705882	0.558823529	No
WEB334.web	lake	41.44333333	13	51	0.301775148	3.923076923	2.481887047	2.6	1.496662955	2	3.063431962	0.16025641	0.230769231	0.076923077	0.153846154	0.615384615	No
WEB335.web	lake	41.43472222	15	75	0.333333333	5	2.016597795	3.454545455	1.876342495	2.533333333	2.654974367	0.223809524	0.266666667	0.466666667	0.6	0.133333333	No
WEB336.web	lake	41.44333333	7	24	0.489795918	3.428571429	0.494871659	3	1.224744871	1.714285714	1.577908717	0.285714286	0.428571429	0.142857143	0.142857143	0.428571429	No
WEB337.web	lake	41.43472222	8	27	0.421875	3.375	1.231107225	3.5	0.866025404	1.75	1.479019946	0.232142857	0.5	0	0.125	0.375	No
WEB343.web	lake	28.2	12	57	0.395833333	4.75	2.854090632	3.222222222	2.346523565	2.416666667	1.320248293	0.439393939	0.25	0.333333333	0.666666667	0.083333333	Yes
WEB345.web	lake	47.63611111	23	198	0.374291115	8.608695652	4.219407855	6.1875	4.018997854	4.304347826	2.385368126	0.539525692	0.304347826	0.086956522	0.608695652	0.086956522	No
WEB356.web	lake	46.21666667	20	108	0.27	5.4	3.252691193	4	3.093772547	2.8	1.989974874	0.297368421	0.3	0.35	0.65	0.05	No
