"Bulman, C., Althaus, F., He, X., Bax, N.J., and Williams, A. (2001). Diets and trophic guilds of demersal fishes of the south-eastern Australian shelf. Marine and Freshwater Research. 52, pp. 537-48.",,,,,,,,,,,,,,,
Demersal fish diets - south-eastern Australia continental shelf ,dogfish (demersal shark),rays,Jackass morwong,Warehous,other large fish,ling,redfish,flathead,ocean perch,redbait,jack mackerel,cardinal fish,cucumberfish,school whiting,Small fish
dogfish (demersal shark),0.0840218514,0,0,0,0,0,0,0,0.0021122326,0,0,0,0,0,0
rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackass morwong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warehous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large fish,0.1704048271,0,0.0086540723,0,0.1156689888,0,0.01388355,0.1438392306,0.0532145181,0,0.0042473786,0,0,0,0.0144227454
ling,0,0,0,0,0,0,0,0.0186007784,0,0,0,0,0,0,0
redfish,0.0693735604,0,0,0,0.0006389261,0,0,0,0,0,0,0,0,0,0
flathead,0.001133961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean perch,0,0,0,0,0.0086299084,0.0008107812,0,0,0,0,0,0,0,0,0
redbait,0.029886863,0,0,0,0.0235102763,0,0,0,0,0,0,0,0,0,0
jack mackerel,0.0787248554,0,0,0,0.3586754723,0,0,0.0066528331,0,0,0,0,0,0,0
cardinal fish,0.0620727155,0,0.1018671279,0.0264389207,0.1502506448,0,0.2627901992,0.0394502822,0.0718159068,0,0.0057928735,0,0,0,0.0135573807
cucumberfish,0.0034304651,0,0,0,0.0475748761,0.0790061283,0.0002773299,0.1601658262,0.0770616236,0,0,0,0,0,0
school whiting,0.0614358333,0,0,0,0.0445706016,0,0,0.0545267561,0,0,0,0,0,0,0
Small fish,0.1696531508,0.0082816775,0.007199846,3.13128309166169E-006,0.1773724115,0.7336034321,0.0232906864,0.4839533314,0.192298186,0.0646295864,0.0012372703,0,0.1066337106,0.2753564611,0.0586928128
mesopelagic,3.8834281476577E-006,0,5.63156270234088E-005,0,0.0001447767,0.0002207127,0.0709332723,0.0469007764,4.32625944564597E-006,0,0.3103570235,0.8365825409,0,0,0
megabenthos,0.1251247694,0.2534527504,0.0938153726,0.004995165,0.036671117,0.1126200398,0.0824920306,0.0168262979,0.1578656112,0.0006393743,0.0213733335,0.015494707,0.1332015266,0.0130171678,0.3069940522
macrobenthos,0.0087029319,0.3526022111,0.4689647575,0.0295191293,0.0122776696,0.0674321694,0.0356947873,0.0101169768,0.058313948,0.0119402226,0.0228577125,0.0005550116,0.1619683015,0.5908234542,0.5319958841
pelagic invertebrates (inc squid),0.1308640281,0.0022271261,0.006994663,0.9382520459,0.0142625965,0,0.0070457567,0.0149373217,0.3719614965,0.5473395103,0.0262721739,0.0007602898,0.310057002,0.0160417098,0.0372591891
pelagic crustacean,0.0005550035,0.0072564083,0.1048786054,0.0006968835,0.007588035,0.0062624506,0.5031778313,0.0031502506,0.0076551472,0.3753589112,0.6078248009,0.1466074506,0.2685521649,0.0043190603,0.0054440775
polychaeta,0.0046113007,0.3761798266,0.2075412947,3.54831223803276E-005,0.0021617387,4.42857692678801E-005,0.0004145563,0.0008793385,0.0070063299,9.23951299463407E-005,3.66105093748153E-005,0,0.0195872944,0.1004421467,0.0314671403
Primary producers,0,0,0.000027945,5.92412723205201E-005,1.96063976459775E-006,0,0,0,0.0006906739,0,8.22758877599934E-007,0,0,0,0.0001667181
