"R.M. Thompson and C.R. Townsend. 0. Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84, pp. 145-161.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Stream - Maine - USA,Aelosoma,Boyeria,Brillia,Bryophaenocladius,Cernotina,Chimara,Cinygmula,Conchapelopia,Cricotopus,Dicrotendipes,Elmid I adult,Endochironomous,Eukieferiella sp. II,Eukiefferiella type 'dark',Eukiefferiella 'naonella' type,Gomphus,Gyraulus,Hydrobia,Hydropyschid I,Larsia,Leuctra,Lumbriculiid 'pink',Lumbriculiid 'slim white',Micrasema,Paralauterborniella,Probezzia,Pseudorthocladius,Simulium,Sphaerium occidentale,Stempellinella,Stenelmis,Suwalia,Tachopteryx,Long-nose Dace,Blacknose Shiner,Flathead Minnow,Crayfish
Unidentified organic matter,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Terrestrial plant material,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes inflata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aelosoma,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Auodinella hermanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baetis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blacknose Shiner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brillia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryophaenocladius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calothrix,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cernotina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
