"R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins stream - Maine - USA,Acroneuria spp.,Aelosoma sp.,Alloperla sp.,Anepeorus sp.,Antocha saxicola,Baetis (pygmaeus?),Boyeria vinosa,Bryophaenocladius sp.,Chauliodes sp.,Chimarra atterima,Chironomini unknown,Conchapelopia sp.,Cryptolabis sp.,Cyrnellus sp.,Dicrotendipes spp.,Diplectrona modesta,Ectopria nervosa,Endochironomous sp.,Ephemerella sp.,Eukieferiella pseudomontana,Eukiefferiella 'dark' type,Glossosoma sp.,Gyraulus sp.,Haploperla brevis,Hexatoma sp.,Hydrophilidae (unknown larva),Hydropsyche sparana,Larsia sp.,Leucrocuta spp.,Leuctra spp.,Lumbriculiid oligochaete unknown 'long',Metriocnemus spp.,Micrasema sp.,Ochthebius sp. (larva),Ophiogomphus sp.,Paraleptophlebia spp.,Paranyctiophylax sp.,Polycentropus sp. (maculatus?),Probezzia sp.,Promoresia sp.,Psephenus spp.,Pseudolimnolphila sp.,Rhyacophila sp.,Simulium spp.,Sphaerium occidentale,Stempelinella sp.,Stenelmis crenata (larvae),Stenelmis sp. (adult),Suwalia sp.,Tallaperla spp.,Tanytarsus Genus A,Tricorythodes sp.,Notropis heterolepsis [Blacknose Shiner],Brook trout,Orcnocetes virilis [Crayfish],Rhinichthys cataractae [Longnose Dace],Cambarus bartonii [Crayfish]
Unidentified detritus,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Terrestrial plant material,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
Terrestrial invertebrates,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batrachospermum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calothrix spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cosmarium spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclotella spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella aspera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
