"R.M. Thompson and C.R. Townsend. (2004). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 38, pp. 595-608.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akatore Creek A - New Zealand,Ameletopsis perscitus,Aoteapsyche raruraru,Austroperla cyrene,Austrosimulium australense,Chironomini,Coloburiscus humeralis,Costachorema xanthoptera,Cricotopus sp I,Cricotopus sp II,Cristaperla,Deleatidium,Eriopterini,Eye forward chiron,Helicopsyche albescens,Hudsonema aliena,Hudsonema amabilis,Hydora nitida (ad),Hydora nitida (l),Hydrobiosella stenocerca,Hydrobiosis parumbripennis,Mischoderus,Nannochorista phillpotti,Neozephlebia scita,Oligo II,Oligo Lumbri pink,Oligo skinny,Paracalliope fluviatalus,Paracalliope pale,Paralimnophila skuseii,Paucispinigera approximata,Polypedellum,Polypedellum II,Polyplectropus puerilis,Scirtid broad spp.,Sphaerid,Stenoperla prasinia,Stictocladius,Zelandobius,Zelandoperla fenestrata,Zelandotipula,Anguilla dieffenbachii
Unidentified detritus,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Plant materials,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0
Meiofauna,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Achnanthes inflata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Achnanthes lanceolata,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ankitodesmus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Batrachospermum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
