"R.M. Thompson and C.R. Townsend. (1001). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 18, pp. 191-608.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick stream - 1 yr post harvest - New Zealand,Acroperla,Aphrophila spp.,Austroperla cyrene,Austrosimulium,Coloburiscus,Cricotopus II,Cristaperla,Deleatidium,Eukiefidriella,Hexatomini,Hudsonema aliena,Hudsonema amabilis,Hydora nitida (larva) (Broun),Hydrobiosella stenocerca (Tillyard),Hydrobiosis parumbripennis,Nannochorista,Naonella,Neozephlebia,Neurchorema,Oligo four chaetae,Oligochaeta type II,Oligochaeta type III,Oligochaeta nr 'Aelosoma sp.',Paracalliope purple,Paucispinigera approximata,phrea,Potamopyrgus antipodarum (Gray),Plectrocnemia,Pseudooeconesus,Psilachorema,Pycnocentria,Scritid brd,Sphaerium,Stictocaldius,Stictocladius III,Tanyderidae,Tanytarsus verspertinus,Zelanoperla,Salmo trutta
Unidentified detritus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
Plant material,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0
Terrestrial Inverts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aucalosira,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragilaria vaucheriae,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Navicula avenacea,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
Audouniella,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gomphoneis herculeana,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Navicula placentula,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frustulia rhomboides,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
